TransactionID,Date,CustomerID,City,State,Region,StoreID,ProductCategory,ProductName,ProductID,Quantity,UnitPrice,TotalSale,PaymentMethod,SalesRep,Discount,Season,Membership
43,2023-07-08,29513,Macon,Georgia,South,13,Zapatos,Zapatos Golf,P3374,2,23.52,46.57,Efectivo,Rep_16,0.01,Winter,None
44,2023-02-13,24549,Austin,Texas,South,26,Zapatos,Zapatos Golf,P1128,1,106.18,97.69,PayPal,Rep_17,0.08,Summer,Silver
45,2023-10-25,51923,Reno,Nevada,West,13,Polos,Polos Golf,P9566,2,20.46,39.28,Tarjeta Crédito,Rep_14,0.04,Fall,None
46,2023-01-14,31561,Henderson,Nevada,West,47,Pantalones,Pantalones Golf,P3037,3,198.89,578.77,PayPal,Rep_5,0.03,Fall,None
47,2023-06-24,84151,Naperville,Illinois,Midwest,25,Guantes,Guantes Golf,P8319,4,91.24,343.06,Tarjeta Débito,Rep_11,0.06,Winter,Gold
48,2023-12-19,89159,Sacramento,California,West,25,Polos,Polos Golf,P4549,1,27.62,25.96,Efectivo,Rep_4,0.06,Fall,None
49,2023-01-07,29044,Miami,Florida,South,3,Gorras,Gorras Golf,P1393,4,70.63,223.19,Efectivo,Rep_5,0.21,Spring,Platinum
50,2023-07-19,28614,Orlando,Florida,South,5,Guantes,Guantes Golf,P1245,1,27.33,21.32,Tarjeta Débito,Rep_7,0.22,Spring,None
51,2023-01-15,50910,Savannah,Georgia,South,44,Polos,Polos Golf,P7050,3,92.35,254.89,PayPal,Rep_15,0.08,Summer,Platinum
52,2023-10-26,32894,Austin,Texas,South,18,Zapatos,Zapatos Golf,P2974,4,101.92,370.99,Tarjeta Crédito,Rep_10,0.09,Summer,Platinum
53,2023-05-08,49116,Carson City,Nevada,West,44,Guantes,Guantes Golf,P1998,2,167.74,288.51,Tarjeta Débito,Rep_5,0.14,Winter,Gold
54,2023-01-04,72769,Carson City,Nevada,West,21,Guantes,Guantes Golf,P4989,2,55.76,80.29,PayPal,Rep_16,0.28,Winter,Silver
55,2023-01-22,88673,Naperville,Illinois,Midwest,39,Gorras,Gorras Golf,P8278,5,195.83,695.2,PayPal,Rep_1,0.29,Winter,None
56,2023-03-26,45817,Houston,Texas,South,17,Polos,Polos Golf,P6768,3,102.42,264.24,PayPal,Rep_5,0.14,Spring,Gold
57,2023-09-26,51269,Los Angeles,California,West,37,Polos,Polos Golf,P5372,3,144.33,342.06,PayPal,Rep_1,0.21,Summer,Silver
58,2023-09-04,23030,Naperville,Illinois,Midwest,8,Polos,Polos Golf,P5179,3,65.73,165.64,Tarjeta Débito,Rep_6,0.16,Spring,Gold
59,2023-08-19,82153,Springfield,Illinois,Midwest,7,Polos,Polos Golf,P9770,5,180.2,810.9,PayPal,Rep_8,0.1,Spring,None
60,2023-01-29,35946,Carson City,Nevada,West,36,Zapatos,Zapatos Golf,P4385,4,77.8,270.74,Tarjeta Crédito,Rep_16,0.13,Summer,Silver
61,2023-08-15,90966,Phoenix,Arizona,West,47,Gorras,Gorras Golf,P8686,5,54.25,192.59,Efectivo,Rep_18,0.29,Spring,None
62,2023-12-10,67378,Los Angeles,California,West,38,Gorras,Gorras Golf,P5559,2,74.48,131.08,Tarjeta Crédito,Rep_4,0.12,Fall,Platinum
63,2023-06-20,18971,San Francisco,California,West,41,Pantalones,Pantalones Golf,P9759,3,154.57,380.24,PayPal,Rep_1,0.18,Winter,Platinum
64,2023-03-07,40728,Augusta,Georgia,South,41,Polos,Polos Golf,P8102,3,165.74,397.78,Tarjeta Débito,Rep_17,0.2,Fall,None
65,2023-03-29,45072,Orlando,Florida,South,41,Gorras,Gorras Golf,P7438,3,149.37,439.15,PayPal,Rep_9,0.02,Winter,None
66,2023-12-28,11162,San Francisco,California,West,48,Gorras,Gorras Golf,P5979,1,87.0,80.04,Tarjeta Crédito,Rep_2,0.08,Summer,Gold
67,2023-10-25,37799,Macon,Georgia,South,20,Pantalones,Pantalones Golf,P2728,1,193.5,162.54,Efectivo,Rep_7,0.16,Spring,Silver
68,2023-07-12,43264,Las Vegas,Nevada,West,19,Gorras,Gorras Golf,P3553,3,128.94,336.53,Tarjeta Crédito,Rep_20,0.13,Winter,Silver
69,2023-05-12,54328,Savannah,Georgia,South,45,Guantes,Guantes Golf,P1107,5,191.03,783.22,Efectivo,Rep_8,0.18,Spring,None
70,2023-09-14,31979,Sacramento,California,West,6,Guantes,Guantes Golf,P9552,5,182.86,749.73,Efectivo,Rep_2,0.18,Summer,Gold
71,2023-11-01,55353,Carson City,Nevada,West,15,Gorras,Gorras Golf,P2615,2,169.89,241.24,Tarjeta Débito,Rep_16,0.29,Spring,Platinum
72,2023-07-22,18875,Scottsdale,Arizona,West,5,Gorras,Gorras Golf,P9800,2,27.33,46.46,Tarjeta Débito,Rep_8,0.15,Summer,Silver
73,2023-12-10,14833,Carson City,Nevada,West,9,Polos,Polos Golf,P3377,3,92.5,222.0,Tarjeta Débito,Rep_1,0.2,Winter,Platinum
74,2023-07-05,64676,Tucson,Arizona,West,23,Zapatos,Zapatos Golf,P9186,4,174.6,502.85,Tarjeta Crédito,Rep_2,0.28,Spring,Platinum
75,2023-07-13,86636,San Antonio,Texas,South,26,Guantes,Guantes Golf,P8516,4,113.69,382.0,PayPal,Rep_15,0.16,Summer,Gold
76,2023-05-16,12497,Scottsdale,Arizona,West,15,Zapatos,Zapatos Golf,P6885,2,199.44,355.0,Tarjeta Crédito,Rep_14,0.11,Summer,Silver
77,2023-11-25,71270,San Diego,California,West,11,Guantes,Guantes Golf,P4376,4,44.3,175.43,Tarjeta Crédito,Rep_20,0.01,Fall,None
78,2023-10-30,79061,Mesa,Arizona,West,47,Polos,Polos Golf,P1180,1,57.06,42.8,Tarjeta Débito,Rep_16,0.25,Fall,Platinum
79,2023-03-04,69751,Savannah,Georgia,South,10,Polos,Polos Golf,P4256,1,100.14,74.1,Efectivo,Rep_17,0.26,Winter,Platinum
80,2023-03-12,89223,San Antonio,Texas,South,20,Pantalones,Pantalones Golf,P8201,4,41.38,124.14,Tarjeta Crédito,Rep_18,0.25,Spring,None
81,2023-10-20,35409,Austin,Texas,South,38,Polos,Polos Golf,P7193,5,119.18,476.72,Tarjeta Débito,Rep_3,0.2,Summer,Gold
82,2023-04-23,42107,San Antonio,Texas,South,9,Polos,Polos Golf,P7404,4,101.13,299.34,PayPal,Rep_2,0.26,Fall,Silver
83,2023-12-08,42270,Jacksonville,Florida,South,46,Gorras,Gorras Golf,P9652,1,145.25,120.56,Efectivo,Rep_9,0.17,Spring,Silver
84,2023-01-15,18330,San Antonio,Texas,South,20,Polos,Polos Golf,P3617,4,115.99,408.28,Tarjeta Crédito,Rep_9,0.12,Summer,Gold
85,2023-07-10,13055,Carson City,Nevada,West,44,Polos,Polos Golf,P2152,1,45.96,34.93,Efectivo,Rep_12,0.24,Summer,Gold
86,2023-05-29,86514,Austin,Texas,South,41,Guantes,Guantes Golf,P4258,4,23.74,70.27,Tarjeta Débito,Rep_13,0.26,Winter,Silver
87,2023-11-02,72339,Houston,Texas,South,39,Guantes,Guantes Golf,P8429,3,189.5,505.97,Tarjeta Crédito,Rep_17,0.11,Spring,Gold
88,2023-05-25,98299,Houston,Texas,South,47,Pantalones,Pantalones Golf,P7813,5,77.22,308.88,Tarjeta Débito,Rep_9,0.2,Winter,Silver
89,2023-12-19,68409,Scottsdale,Arizona,West,8,Pantalones,Pantalones Golf,P6430,2,52.84,93.0,PayPal,Rep_3,0.12,Fall,None
90,2023-07-16,78539,San Francisco,California,West,45,Guantes,Guantes Golf,P2544,4,194.61,560.48,Tarjeta Crédito,Rep_2,0.28,Fall,Gold
91,2023-07-25,65506,San Francisco,California,West,41,Zapatos,Zapatos Golf,P7631,2,175.73,347.95,Efectivo,Rep_15,0.01,Fall,Gold
92,2023-11-07,50971,Los Angeles,California,West,21,Guantes,Guantes Golf,P4789,2,26.03,41.13,PayPal,Rep_9,0.21,Fall,Silver
93,2023-11-19,93918,San Antonio,Texas,South,4,Polos,Polos Golf,P4908,3,44.73,134.19,Tarjeta Débito,Rep_4,0.0,Spring,None
94,2023-01-18,99270,Scottsdale,Arizona,West,30,Polos,Polos Golf,P6069,2,65.17,109.49,PayPal,Rep_13,0.16,Spring,Silver
95,2023-08-04,94348,Los Angeles,California,West,9,Pantalones,Pantalones Golf,P4460,3,151.54,331.87,PayPal,Rep_12,0.27,Fall,Silver
96,2023-08-20,24121,Buffalo,New York,Northeast,46,Gorras,Gorras Golf,P4667,5,146.85,668.17,Efectivo,Rep_12,0.09,Summer,Gold
97,2023-03-30,97077,Albany,New York,Northeast,45,Guantes,Guantes Golf,P2902,4,171.08,663.79,Tarjeta Débito,Rep_9,0.03,Summer,Silver
98,2023-06-30,85596,Los Angeles,California,West,35,Pantalones,Pantalones Golf,P4641,4,44.69,169.82,PayPal,Rep_1,0.05,Summer,Gold
99,2023-12-22,23461,San Diego,California,West,28,Zapatos,Zapatos Golf,P7180,1,121.55,105.75,PayPal,Rep_9,0.13,Winter,None
100,2023-11-25,97987,Dallas,Texas,South,46,Pantalones,Pantalones Golf,P3138,5,118.82,588.16,Tarjeta Crédito,Rep_7,0.01,Spring,Gold
101,2023-12-22,64581,Mesa,Arizona,West,41,Zapatos,Zapatos Golf,P4426,5,138.04,662.59,Tarjeta Débito,Rep_14,0.04,Fall,Silver
102,2023-12-13,22034,San Francisco,California,West,15,Pantalones,Pantalones Golf,P7484,3,158.89,419.47,PayPal,Rep_9,0.12,Spring,Platinum
103,2023-04-17,23584,Savannah,Georgia,South,24,Gorras,Gorras Golf,P2624,5,41.23,204.09,Efectivo,Rep_17,0.01,Winter,None
104,2023-09-17,12571,Phoenix,Arizona,West,50,Zapatos,Zapatos Golf,P8325,4,122.28,381.51,Tarjeta Débito,Rep_9,0.22,Summer,Gold
105,2023-08-29,26383,Orlando,Florida,South,23,Pantalones,Pantalones Golf,P7525,3,161.45,392.32,Tarjeta Crédito,Rep_14,0.19,Summer,Silver
106,2023-05-25,30364,Scottsdale,Arizona,West,12,Gorras,Gorras Golf,P4644,2,182.6,310.42,Efectivo,Rep_17,0.15,Fall,Silver
107,2023-12-09,30256,Houston,Texas,South,50,Zapatos,Zapatos Golf,P6196,1,147.69,115.2,Efectivo,Rep_7,0.22,Spring,None
108,2023-03-13,94032,Carson City,Nevada,West,29,Gorras,Gorras Golf,P9353,3,191.74,419.91,Efectivo,Rep_15,0.27,Winter,Gold
109,2023-08-02,62972,San Francisco,California,West,7,Zapatos,Zapatos Golf,P7949,1,157.52,152.79,Efectivo,Rep_10,0.03,Fall,Silver
110,2023-08-01,10823,Los Angeles,California,West,5,Gorras,Gorras Golf,P2236,3,189.63,563.2,PayPal,Rep_2,0.01,Summer,Platinum
111,2023-03-31,95523,Rochester,New York,Northeast,49,Guantes,Guantes Golf,P8089,3,49.19,132.81,Tarjeta Débito,Rep_12,0.1,Fall,Silver
112,2023-07-11,43039,Houston,Texas,South,41,Gorras,Gorras Golf,P9196,1,74.36,52.05,Tarjeta Crédito,Rep_2,0.3,Spring,Silver
113,2023-01-19,75243,Carson City,Nevada,West,44,Guantes,Guantes Golf,P2457,3,164.15,457.98,Tarjeta Crédito,Rep_5,0.07,Fall,Gold
114,2023-09-11,59645,Phoenix,Arizona,West,17,Polos,Polos Golf,P3414,3,118.83,313.71,PayPal,Rep_7,0.12,Fall,None
115,2023-05-07,87758,Rochester,New York,Northeast,42,Guantes,Guantes Golf,P4259,5,182.65,694.07,Tarjeta Crédito,Rep_16,0.24,Fall,Gold
116,2023-03-02,86636,Rochester,New York,Northeast,12,Polos,Polos Golf,P4448,3,119.31,322.14,Tarjeta Débito,Rep_17,0.1,Winter,Silver
117,2023-05-05,40746,Reno,Nevada,West,39,Gorras,Gorras Golf,P5568,3,33.52,93.52,Tarjeta Débito,Rep_19,0.07,Winter,Platinum
118,2023-12-31,71826,San Antonio,Texas,South,23,Polos,Polos Golf,P9756,1,128.48,95.08,PayPal,Rep_20,0.26,Spring,Silver
119,2023-11-01,94368,Tucson,Arizona,West,24,Gorras,Gorras Golf,P3102,2,117.34,232.33,Tarjeta Crédito,Rep_6,0.01,Spring,None
120,2023-02-16,71789,Tampa,Florida,South,16,Gorras,Gorras Golf,P7197,1,180.86,150.11,Efectivo,Rep_20,0.17,Spring,None
121,2023-09-15,39524,San Diego,California,West,44,Gorras,Gorras Golf,P4122,2,134.43,263.48,Tarjeta Crédito,Rep_16,0.02,Fall,Silver
122,2023-03-25,50343,Orlando,Florida,South,50,Zapatos,Zapatos Golf,P2766,1,128.99,113.51,PayPal,Rep_2,0.12,Winter,Silver
123,2023-01-28,14165,Austin,Texas,South,49,Pantalones,Pantalones Golf,P7317,5,194.75,934.8,Efectivo,Rep_3,0.04,Summer,Silver
124,2023-04-19,73039,Carson City,Nevada,West,33,Polos,Polos Golf,P7323,5,140.37,498.31,Tarjeta Crédito,Rep_12,0.29,Winter,Gold
125,2023-08-02,19901,Mesa,Arizona,West,47,Pantalones,Pantalones Golf,P7895,2,88.95,140.54,Tarjeta Crédito,Rep_3,0.21,Fall,Gold
126,2023-09-05,91960,Carson City,Nevada,West,19,Pantalones,Pantalones Golf,P4044,3,98.02,232.31,Tarjeta Crédito,Rep_9,0.21,Fall,Silver
127,2023-12-20,31680,San Francisco,California,West,24,Polos,Polos Golf,P7603,3,32.92,69.13,Tarjeta Débito,Rep_3,0.3,Winter,Silver
128,2023-02-20,87464,Carson City,Nevada,West,8,Pantalones,Pantalones Golf,P6245,4,126.27,414.17,PayPal,Rep_7,0.18,Winter,Silver
129,2023-11-12,93178,Savannah,Georgia,South,27,Zapatos,Zapatos Golf,P4325,5,187.88,770.31,PayPal,Rep_4,0.18,Spring,Gold
130,2023-04-24,60715,Mesa,Arizona,West,28,Gorras,Gorras Golf,P5786,2,57.5,93.15,PayPal,Rep_14,0.19,Spring,Platinum
131,2023-04-13,38862,Savannah,Georgia,South,5,Zapatos,Zapatos Golf,P8088,4,190.62,709.11,Tarjeta Crédito,Rep_7,0.07,Fall,Platinum
132,2023-11-15,76300,Mesa,Arizona,West,18,Zapatos,Zapatos Golf,P2989,3,140.03,407.49,Tarjeta Crédito,Rep_6,0.03,Fall,Silver
133,2023-03-10,66130,Tampa,Florida,South,5,Gorras,Gorras Golf,P3081,5,51.09,219.69,PayPal,Rep_17,0.14,Winter,Gold
134,2023-07-04,65994,Tucson,Arizona,West,11,Pantalones,Pantalones Golf,P7098,4,77.96,308.72,Efectivo,Rep_8,0.01,Fall,None
135,2023-03-21,99469,Austin,Texas,South,39,Guantes,Guantes Golf,P7548,3,94.38,263.32,PayPal,Rep_10,0.07,Spring,Silver
136,2023-04-05,50504,Jacksonville,Florida,South,29,Guantes,Guantes Golf,P8562,5,130.91,628.37,Efectivo,Rep_7,0.04,Summer,Silver
137,2023-09-29,28850,Mesa,Arizona,West,19,Guantes,Guantes Golf,P6194,1,84.95,74.76,Tarjeta Crédito,Rep_20,0.12,Fall,None
138,2023-01-03,63243,Mesa,Arizona,West,16,Guantes,Guantes Golf,P9781,2,86.27,138.03,PayPal,Rep_10,0.2,Spring,None
139,2023-11-07,54104,Reno,Nevada,West,19,Polos,Polos Golf,P8634,2,119.78,220.4,Tarjeta Débito,Rep_6,0.08,Spring,Silver
140,2023-07-04,24213,San Antonio,Texas,South,42,Pantalones,Pantalones Golf,P8946,4,66.82,221.84,Tarjeta Débito,Rep_9,0.17,Summer,Gold
141,2023-12-05,36519,Mesa,Arizona,West,34,Pantalones,Pantalones Golf,P4548,2,70.61,122.86,Tarjeta Débito,Rep_3,0.13,Winter,None
142,2023-10-10,43695,Rochester,New York,Northeast,40,Polos,Polos Golf,P4157,1,81.49,74.97,Efectivo,Rep_17,0.08,Spring,None
143,2023-12-05,10333,Austin,Texas,South,42,Zapatos,Zapatos Golf,P5669,5,110.9,532.32,Efectivo,Rep_14,0.04,Winter,None
144,2023-09-04,19448,Rochester,New York,Northeast,16,Pantalones,Pantalones Golf,P1409,1,38.71,33.68,Efectivo,Rep_11,0.13,Fall,Platinum
145,2023-01-17,81775,Naperville,Illinois,Midwest,33,Polos,Polos Golf,P2170,2,41.66,72.49,PayPal,Rep_14,0.13,Spring,Gold
146,2023-02-24,75325,San Diego,California,West,50,Polos,Polos Golf,P9934,1,101.33,87.14,Tarjeta Crédito,Rep_13,0.14,Spring,Silver
147,2023-01-30,57905,Los Angeles,California,West,50,Guantes,Guantes Golf,P2665,2,120.39,238.37,Tarjeta Crédito,Rep_4,0.01,Winter,None
148,2023-04-17,91560,Naperville,Illinois,Midwest,14,Gorras,Gorras Golf,P6256,5,131.87,527.48,Tarjeta Crédito,Rep_9,0.2,Winter,Silver
149,2023-12-21,98868,Buffalo,New York,Northeast,18,Polos,Polos Golf,P1834,3,47.21,121.8,PayPal,Rep_8,0.14,Summer,None
150,2023-11-02,77141,Austin,Texas,South,3,Pantalones,Pantalones Golf,P7916,4,56.82,172.73,Tarjeta Crédito,Rep_18,0.24,Summer,Platinum
151,2023-01-10,23681,Atlanta,Georgia,South,46,Zapatos,Zapatos Golf,P8518,5,61.98,216.93,PayPal,Rep_1,0.3,Fall,None
152,2023-01-09,69002,Jacksonville,Florida,South,48,Zapatos,Zapatos Golf,P5678,4,175.86,520.55,Tarjeta Débito,Rep_9,0.26,Fall,Gold
153,2023-08-01,59178,Peoria,Illinois,Midwest,33,Guantes,Guantes Golf,P1896,5,92.85,399.25,PayPal,Rep_11,0.14,Winter,Gold
154,2023-08-04,11408,Mesa,Arizona,West,4,Zapatos,Zapatos Golf,P5031,2,196.63,298.88,Efectivo,Rep_16,0.24,Winter,Silver
155,2023-07-29,78424,Miami,Florida,South,14,Pantalones,Pantalones Golf,P1852,3,41.79,100.3,PayPal,Rep_3,0.2,Winter,None
156,2023-01-12,62450,Scottsdale,Arizona,West,20,Pantalones,Pantalones Golf,P8263,5,135.41,643.2,Tarjeta Crédito,Rep_10,0.05,Winter,None
157,2023-07-21,72769,Peoria,Illinois,Midwest,48,Gorras,Gorras Golf,P6451,5,125.49,614.9,Efectivo,Rep_15,0.02,Winter,Platinum
158,2023-04-22,57120,Dallas,Texas,South,17,Gorras,Gorras Golf,P1877,2,182.45,306.52,Tarjeta Crédito,Rep_18,0.16,Fall,None
159,2023-06-25,23523,Rochester,New York,Northeast,15,Guantes,Guantes Golf,P5690,4,119.4,420.29,PayPal,Rep_16,0.12,Summer,Gold
160,2023-06-04,44897,Reno,Nevada,West,43,Guantes,Guantes Golf,P4396,2,195.35,281.3,Efectivo,Rep_13,0.28,Winter,Platinum
161,2023-03-28,97550,Savannah,Georgia,South,21,Polos,Polos Golf,P6292,3,191.27,413.14,Tarjeta Crédito,Rep_1,0.28,Fall,None
162,2023-05-04,56923,Las Vegas,Nevada,West,35,Guantes,Guantes Golf,P8229,4,129.02,500.6,PayPal,Rep_16,0.03,Spring,Platinum
163,2023-07-16,20107,New York City,New York,Northeast,31,Polos,Polos Golf,P4157,5,69.19,256.0,Tarjeta Débito,Rep_14,0.26,Fall,Silver
164,2023-06-07,23955,Mesa,Arizona,West,10,Pantalones,Pantalones Golf,P5222,3,47.95,122.27,PayPal,Rep_2,0.15,Winter,None
165,2023-12-13,39185,Macon,Georgia,South,11,Pantalones,Pantalones Golf,P9992,5,86.24,392.39,Tarjeta Crédito,Rep_12,0.09,Spring,Platinum
166,2023-07-12,90641,Peoria,Illinois,Midwest,40,Gorras,Gorras Golf,P3922,5,77.94,374.11,Tarjeta Crédito,Rep_4,0.04,Spring,None
167,2023-06-14,31557,Macon,Georgia,South,21,Zapatos,Zapatos Golf,P4963,2,84.24,148.26,Efectivo,Rep_9,0.12,Winter,None
168,2023-08-02,30510,Las Vegas,Nevada,West,15,Polos,Polos Golf,P6146,1,135.59,127.45,Tarjeta Crédito,Rep_5,0.06,Winter,Gold
169,2023-07-20,29659,Miami,Florida,South,17,Zapatos,Zapatos Golf,P8194,5,127.43,490.61,Tarjeta Débito,Rep_2,0.23,Fall,Platinum
170,2023-05-25,36193,Sacramento,California,West,23,Zapatos,Zapatos Golf,P9879,2,57.06,107.27,Efectivo,Rep_12,0.06,Fall,None
171,2023-01-01,73902,Tucson,Arizona,West,44,Guantes,Guantes Golf,P7611,4,93.02,342.31,PayPal,Rep_18,0.08,Summer,Gold
172,2023-01-12,63657,San Antonio,Texas,South,27,Polos,Polos Golf,P7005,5,101.62,401.4,Efectivo,Rep_17,0.21,Spring,None
173,2023-12-02,94537,Macon,Georgia,South,21,Pantalones,Pantalones Golf,P2532,2,67.27,95.52,PayPal,Rep_12,0.29,Winter,Gold
174,2023-12-17,75713,Naperville,Illinois,Midwest,32,Guantes,Guantes Golf,P6002,4,120.77,342.99,Efectivo,Rep_16,0.29,Spring,Silver
175,2023-03-24,25068,Naperville,Illinois,Midwest,43,Gorras,Gorras Golf,P8830,2,199.48,379.01,Tarjeta Débito,Rep_4,0.05,Summer,Silver
